指标名,字段类型,单位,标签,描述
"gen_ai_agent_subagent_duration_min","float","-","app_name,service_name,session_id,unit,env,app_id,agent_version,outcome,subagent_role,agent_runtime,scope_name,operation_name",""
"gen_ai_agent_subagent_duration_sum","float","-","app_name,service_name,session_id,unit,env,app_id,agent_version,outcome,subagent_role,agent_runtime,scope_name,operation_name",""
"gen_ai_agent_token_usage_bucket","float","-","session_id,app_id,host_arch,agent_version,process_command,scope_name,app_name,request_model,token_type,process_pid,env,process_executable_name,process_command_args,agent_runtime,response_model,runtime_environment,platform,host_id,provider_name,unit,le,host_name,agent_id,process_owner,agent_name,service_name",""
"gen_ai_agent_token_usage_count","float","-","session_id,app_id,host_arch,agent_version,process_command,scope_name,app_name,request_model,token_type,process_pid,env,process_executable_name,process_command_args,agent_runtime,response_model,runtime_environment,platform,host_id,provider_name,unit,host_name,agent_id,process_owner,agent_name,service_name",""
"gen_ai_agent_token_usage_max","float","-","session_id,app_id,host_arch,agent_version,process_command,scope_name,app_name,request_model,token_type,process_pid,env,process_executable_name,process_command_args,agent_runtime,response_model,runtime_environment,platform,host_id,provider_name,unit,host_name,agent_id,process_owner,agent_name,service_name",""
"gen_ai_agent_token_usage_min","float","-","session_id,app_id,host_arch,agent_version,process_command,scope_name,app_name,request_model,token_type,process_pid,env,process_executable_name,process_command_args,agent_runtime,response_model,runtime_environment,platform,host_id,provider_name,unit,host_name,agent_id,process_owner,agent_name,service_name",""
"gen_ai_agent_token_usage_sum","float","-","session_id,app_id,host_arch,agent_version,process_command,scope_name,app_name,request_model,token_type,process_pid,env,process_executable_name,process_command_args,agent_runtime,response_model,runtime_environment,platform,host_id,provider_name,unit,host_name,agent_id,process_owner,agent_name,service_name",""
"gen_ai_runtime_message_duration_bucket","float","-","app_id,host_arch,agent_version,process_command,scope_name,outcome,app_name,process_pid,env,process_executable_name,process_command_args,agent_runtime,runtime_environment,host_id,unit,le,channel,host_name,agent_id,process_owner,agent_name,service_name",""
"gen_ai_runtime_message_duration_count","float","-","app_id,host_arch,agent_version,process_command,scope_name,outcome,app_name,process_pid,env,process_executable_name,process_command_args,agent_runtime,runtime_environment,host_id,unit,channel,host_name,agent_id,process_owner,agent_name,service_name",""
"gen_ai_runtime_message_duration_max","float","-","app_id,host_arch,agent_version,process_command,scope_name,outcome,app_name,process_pid,env,process_executable_name,process_command_args,agent_runtime,runtime_environment,host_id,unit,channel,host_name,agent_id,process_owner,agent_name,service_name",""
